wellName,datasetName,MD,AZIM_TN,DX_TN,DY_TN,INCL,THL_TN,TVD,TVDBML,TVDSS,Z
,,m,dega,m,m,dega,m,m,m,m,m
BEKOK DEEP-1RDR1,Index,3128.16359999903,318.901648461111,-8.96625638721299,0.251348953280239,3.39486340834065,22.4085894281023,3127.91830932863,3023.61830932863,3093.91830932863,-3093.91830932863
BEKOK DEEP-1RDR1,Index,3128.31599999903,318.929116066858,-8.97217383127635,0.258167296582015,3.39743356733587,22.4176174926581,3128.07044168563,3023.77044168563,3094.07044168563,-3094.07044168563
BEKOK DEEP-1RDR1,Index,3128.46839999903,318.956580257511,-8.97809272629231,0.264993416597059,3.4000043911716,22.4266523824012,3128.22257363744,3023.92257363744,3094.22257363744,-3094.22257363744
BEKOK DEEP-1RDR1,Index,3128.62079999903,318.984047863258,-8.9840130722449,0.27182731330693,3.40257587834089,22.4356940990767,3128.37470518366,3024.07470518366,3094.37470518366,-3094.37470518366
BEKOK DEEP-1RDR1,Index,3128.77319999903,319.011512053911,-8.9899348691181,0.278668986693164,3.40514802734091,22.4447426444256,3128.52683632387,3024.22683632387,3094.52683632387,-3094.52683632387
BEKOK DEEP-1RDR1,Index,3128.92559999903,319.038979659658,-8.99585811689593,0.28551843673728,3.40772083667303,22.453798020185,3128.67896705766,3024.37896705766,3094.67896705766,-3094.67896705766
BEKOK DEEP-1RDR1,Index,3129.07799999903,319.066447265405,-9.00178281556238,0.292375663420771,3.41029430484273,22.462860228088,3128.83109738463,3024.53109738463,3094.83109738463,-3094.83109738463
BEKOK DEEP-1RDR1,Index,3129.23039999903,319.093911456058,-9.00770896510145,0.299240666725113,3.41286843035962,22.4719292698637,3128.98322730435,3024.68322730435,3094.98322730435,-3094.98322730435
BEKOK DEEP-1RDR1,Index,3129.38279999903,319.121375646711,-9.01363656549713,0.306113446631759,3.41544321173742,22.481005147237,3129.13535681643,3024.83535681643,3095.13535681643,-3095.13535681643
BEKOK DEEP-1RDR1,Index,3129.53519999903,319.148843252458,-9.0195656167334,0.312994003122142,3.41801864749396,22.4900878619292,3129.28748592045,3024.98748592045,3095.28748592045,-3095.28748592045
BEKOK DEEP-1RDR1,Index,3129.68759999903,319.176310858205,-9.02549611879424,0.319882336177673,3.42059473615116,22.4991774156574,3129.43961461599,3025.13961461599,3095.43961461599,-3095.43961461599
BEKOK DEEP-1RDR1,Index,3129.83999999903,319.203775048858,-9.03142807166363,0.326778445779743,3.423171476235,22.5082738101348,3129.59174290265,3025.29174290265,3095.59174290265,-3095.59174290265
BEKOK DEEP-1RDR1,Index,3129.99239999903,319.231242654605,-9.03736147532555,0.333682331909721,3.42574886627553,22.5173770470707,3129.74387078002,3025.44387078002,3095.74387078002,-3095.74387078002
BEKOK DEEP-1RDR1,Index,3130.14479999903,319.258706845257,-9.04329632976397,0.340593994548956,3.42832690480685,22.5264871281704,3129.89599824768,3025.59599824768,3095.89599824768,-3095.89599824768
BEKOK DEEP-1RDR1,Index,3130.29719999903,319.28617103591,-9.04923263496285,0.347513433678775,3.4309055903671,22.5356040551354,3130.04812530522,3025.74812530522,3096.04812530522,-3096.04812530522
BEKOK DEEP-1RDR1,Index,3130.44959999903,319.313635226563,-9.05517039090616,0.354440649280484,3.43348492149845,22.5447278296633,3130.20025195224,3025.90025195224,3096.20025195224,-3096.20025195224
BEKOK DEEP-1RDR1,Index,3130.60199999903,319.34110283231,-9.06110959757785,0.361375641335369,3.43606489674708,22.5538584534476,3130.35237818832,3026.05237818832,3096.35237818832,-3096.35237818832
BEKOK DEEP-1RDR1,Index,3130.75439999903,319.368570438057,-9.06705025496188,0.368318409824694,3.43864551466315,22.5629959281781,3130.50450401305,3026.20450401305,3096.50450401305,-3096.50450401305
BEKOK DEEP-1RDR1,Index,3130.90679999903,319.39603462871,-9.0729923630422,0.375268954729703,3.44122677380084,22.5721402555407,3130.65662942603,3026.35662942603,3096.65662942603,-3096.65662942603
BEKOK DEEP-1RDR1,Index,3131.05919999903,319.423502234457,-9.07893592180276,0.382227276031619,3.44380867271829,22.5812914372174,3130.80875442683,3026.50875442683,3096.80875442683,-3096.80875442683
