wellName,datasetName,DEPTH,CALI,DTCO,DTSH,GR,NPHI,RHOB,RT
BEKOK DEEP-1RDR1,EDIT,577.1844785,13.16508788,148.131562,419.9501705,91.75221252,0.592200502,2.18321297,1.882748923
BEKOK DEEP-1RDR1,EDIT,577.3368785,13.14151713,148.1196667,417.4051654,91.19864655,0.575932335,2.189383213,1.92646547
BEKOK DEEP-1RDR1,EDIT,577.4892785,13.10724484,149.0475369,413.6334063,93.09199524,0.523107925,2.190186387,1.922100283
BEKOK DEEP-1RDR1,EDIT,577.6416785,13.08512069,149.3976658,412.4262785,98.45081329,0.493177429,2.185082643,1.888633094
BEKOK DEEP-1RDR1,EDIT,577.7940785,13.05098248,149.4698067,419.0010922,100.7965851,0.475645615,2.179964823,1.862073376
BEKOK DEEP-1RDR1,EDIT,577.9464785,13.05970754,149.2703224,426.9540746,100.4403076,0.497104588,2.177215477,1.841931732
BEKOK DEEP-1RDR1,EDIT,578.0988785,13.10439363,148.8638602,429.6708649,99.21650696,0.520963181,2.173668173,1.811313312
BEKOK DEEP-1RDR1,EDIT,578.2512785,13.18476231,147.8440943,429.1355563,96.80887604,0.567669719,2.164288532,1.767272626
BEKOK DEEP-1RDR1,EDIT,578.4036785,13.25554465,146.5207324,420.6712443,94.25275421,0.609694998,2.151173953,1.761415016
BEKOK DEEP-1RDR1,EDIT,578.5560785,13.28403408,145.9163024,411.3760971,88.81658936,0.563842966,2.13761534,1.846481454
BEKOK DEEP-1RDR1,EDIT,578.7084785,13.24926184,146.4908112,400.8026936,84.41873169,0.48169355,2.125135629,1.955550426
BEKOK DEEP-1RDR1,EDIT,578.8608785,13.21052841,147.9198933,391.5201188,83.277565,0.476645419,2.112577828,1.996558252
BEKOK DEEP-1RDR1,EDIT,579.0132785,13.17804699,149.5041522,391.1096086,83.08713531,0.549504177,2.103329671,1.889223247
BEKOK DEEP-1RDR1,EDIT,579.1656785,13.10163447,150.5505331,397.0772509,87.29851532,0.664910347,2.098837979,1.769454813
BEKOK DEEP-1RDR1,EDIT,579.3180785,13.06657446,150.8285338,402.2355459,92.03559113,0.652628085,2.09849638,1.701226296
BEKOK DEEP-1RDR1,EDIT,579.4704785,13.02004991,150.0322215,401.9938403,92.96559143,0.610166517,2.098058546,1.687082798
