wellName,datasetName,MD,AZIM_TN,DX_TN,DY_TN,INCL,THL_TN,TVD,TVDBML,TVDSS,Z
,,m,dega,m,m,dega,m,m,m,m,m
BEKOK DEEP-1RDR1 ST1,Index,886.967999999861,146.320519796542,4.65368025463738,0.695016934276654,0.0883765758898994,5.09487798124932,886.948097179127,782.648097179127,852.948097179127,-852.948097179127
BEKOK DEEP-1RDR1 ST1,Index,887.120399999861,146.425185615383,4.6538113643941,0.694822106935278,0.0881990203746765,5.09511281621532,887.100496998197,782.800496998197,853.100496998197,-853.100496998197
BEKOK DEEP-1RDR1 ST1,Index,887.27279999986,146.529878754981,4.65394196468214,0.694627506002852,0.0880216058061776,5.09534717909237,887.252896817993,782.952896817993,853.252896817993,-853.252896817993
BEKOK DEEP-1RDR1 ST1,Index,887.42519999986,146.634599215336,4.6540720555015,0.694433131479379,0.0878443330383909,5.09558107025649,887.405296638514,783.105296638514,853.405296638514,-853.405296638514
BEKOK DEEP-1RDR1 ST1,Index,887.57759999986,146.739360656825,4.65420163685217,0.694238983364863,0.0876672029315264,5.09581449008601,887.557696459758,783.257696459758,853.557696459758,-853.557696459758
BEKOK DEEP-1RDR1 ST1,Index,887.72999999986,146.844149419072,4.65433070873415,0.694045061659305,0.0874902163520654,5.09604743896153,887.710096281722,783.410096281722,853.710096281722,-853.710096281722
BEKOK DEEP-1RDR1 ST1,Index,887.88239999986,146.948965502075,4.65445927114745,0.693851366362708,0.0873133741728098,5.09627991726597,887.862496104405,783.562496104405,853.862496104405,-853.862496104405
BEKOK DEEP-1RDR1 ST1,Index,888.03479999986,147.053808905834,4.65458732409205,0.693657897475076,0.0871366772729316,5.09651192538459,888.014895927805,783.714895927805,854.014895927805,-854.014895927805
BEKOK DEEP-1RDR1 ST1,Index,888.18719999986,147.158679630351,4.65471486756797,0.693464654996409,0.0869601265380236,5.09674346370498,888.167295751919,783.867295751919,854.167295751919,-854.167295751919
BEKOK DEEP-1RDR1 ST1,Index,888.33959999986,147.263591336002,4.65484190157519,0.693271638926711,0.0867837228601493,5.0969745326171,888.319695576745,784.019695576745,854.319695576745,-854.319695576745
BEKOK DEEP-1RDR1 ST1,Index,888.49199999986,147.368544022789,4.65496842611371,0.693078849265985,0.0866074671378941,5.09720513251331,888.472095402282,784.172095402282,854.472095402282,-854.472095402282
BEKOK DEEP-1RDR1 ST1,Index,888.64439999986,147.473524030332,4.65509444118354,0.692886286014233,0.0864313602764165,5.09743526378835,888.624495228527,784.324495228527,854.624495228527,-854.624495228527
BEKOK DEEP-1RDR1 ST1,Index,888.79679999986,147.578531358631,4.65521994678467,0.692693949171458,0.0862554031874994,5.09766492683937,888.776895055479,784.476895055479,854.776895055479,-854.776895055479
BEKOK DEEP-1RDR1 ST1,Index,888.94919999986,147.683566007688,4.6553449429171,0.692501838737661,0.0860795967896025,5.09789412206597,888.929294883134,784.629294883134,854.929294883134,-854.929294883134
BEKOK DEEP-1RDR1 ST1,Index,889.10159999986,147.788627977501,4.65546942958082,0.692309954712847,0.0859039420079143,5.09812284987019,889.081694711492,784.781694711492,855.081694711492,-855.081694711492
BEKOK DEEP-1RDR1 ST1,Index,889.25399999986,147.893730928449,4.65559340677585,0.692118297097017,0.0857284397744047,5.09835111065655,889.234094540551,784.934094540551,855.234094540551,-855.234094540551
BEKOK DEEP-1RDR1 ST1,Index,889.40639999986,147.998861200154,4.65571687450216,0.691926865890174,0.0855530910278784,5.09857890483206,889.386494370307,785.086494370307,855.386494370307,-855.386494370307
BEKOK DEEP-1RDR1 ST1,Index,889.55879999986,148.104005132237,4.65583983275978,0.691735661092321,0.0853778967140282,5.09880623280622,889.538894200759,785.238894200759,855.538894200759,-855.538894200759
BEKOK DEEP-1RDR1 ST1,Index,889.71119999986,148.209190045455,4.65596228154868,0.691544682703459,0.0852028577854883,5.09903309499108,889.691294031906,785.391294031906,855.691294031906,-855.691294031906
BEKOK DEEP-1RDR1 ST1,Index,889.86359999986,148.314388619052,4.65608422086887,0.691353930723593,0.0850279752018894,5.0992594918012,889.843693863745,785.543693863745,855.843693863745,-855.843693863745
BEKOK DEEP-1RDR1 ST1,Index,890.015999999859,148.419628173784,4.65620565072035,0.691163405152723,0.0848532499299125,5.09948542365372,889.996093696273,785.696093696273,855.996093696273,-855.996093696273
BEKOK DEEP-1RDR1 ST1,Index,890.168399999859,148.524895049272,4.65632657110312,0.690973105990853,0.0846786829433437,5.09971089096837,890.14849352949,785.84849352949,856.14849352949,-856.14849352949
