wellName,datasetName,DEPTH,VAR_BADHOLE,VAR_COALCUT,VAR_CWB_GRAD,VAR_GR_CLN,VAR_GR_CLY,VAR_HC_CORRECTION,VAR_HC_CORRECTION_2,VAR_LMSTRKCUT,VAR_M,VAR_N,VAR_NPHI_CLY,VAR_OGF,VAR_RHOB_CLY,VAR_RWF,VAR_SALW,VAR_SD_LN,VAR_SH_LN,VAR_SILTPOSRAT,VAR_SYNDENCL,VAR_SYNDENSD,X_+0_0,X_+0_5,X_+1_0,X_+1_5,X_+2_0,X_-0_5,X_-1_5
,,M,unitless,unitless,unitless,gAPI,gAPI,unitless,unitless,unitless,unitless,unitless,frac,unitless,g/cm3,ohm.m,ppm,frac,frac,%,g/cm3,g/cm3,unitless,unitless,unitless,unitless,unitless,unitless,unitless
BEKOK DEEP-1RDR1 ST1,PEP_VAR_PAR,1273.1496,0,0.340280145406723,0.300000011920929,68.6146011352539,121.196197509766,0.200000002980232,0.200000002980232,0.653999984264374,1.85000002384186,1.85000002384186,0.376035094261169,1,2.47659921646118,0.100000001490116,14544.517578125,-0.300000011920929,0.300000011920929,50,2.52225399017334,2.02037525177002,0,0.5,1,1.5,2,-0.5,-1.5
BEKOK DEEP-1RDR1 ST1,PEP_VAR_PAR,1273.302,0,0.340280145406723,0.300000011920929,68.6173248291016,121.199653625488,0.200000002980232,0.200000002980232,0.653999984264374,1.85000002384186,1.85000002384186,0.376027941703796,1,2.47660493850708,0.100000001490116,14544.517578125,-0.300000011920929,0.300000011920929,50,2.52226734161377,2.02035737037659,0,0.5,1,1.5,2,-0.5,-1.5
BEKOK DEEP-1RDR1 ST1,PEP_VAR_PAR,1273.4544,0,0.340280145406723,0.300000011920929,68.6200485229492,121.203109741211,0.200000002980232,0.200000002980232,0.653999984264374,1.85000002384186,1.85000002384186,0.376020789146423,1,2.47661066055298,0.100000001490116,14544.517578125,-0.300000011920929,0.300000011920929,50,2.5222806930542,2.02033948898315,0,0.5,1,1.5,2,-0.5,-1.5
BEKOK DEEP-1RDR1 ST1,PEP_VAR_PAR,1273.6068,0,0.340280145406723,0.300000011920929,68.6227722167969,121.206565856934,0.200000002980232,0.200000002980232,0.653999984264374,1.85000002384186,1.85000002384186,0.37601363658905,1,2.47661638259888,0.100000001490116,14544.517578125,-0.300000011920929,0.300000011920929,50,2.52229404449463,2.02032160758972,0,0.5,1,1.5,2,-0.5,-1.5
BEKOK DEEP-1RDR1 ST1,PEP_VAR_PAR,1273.7592,0,0.340280145406723,0.300000011920929,68.6254959106445,121.210021972656,0.200000002980232,0.200000002980232,0.653999984264374,1.85000002384186,1.85000002384186,0.376006484031677,1,2.47662210464478,0.100000001490116,14544.517578125,-0.300000011920929,0.300000011920929,50,2.52230739593506,2.02030372619629,0,0.5,1,1.5,2,-0.5,-1.5
BEKOK DEEP-1RDR1 ST1,PEP_VAR_PAR,1273.9116,0,0.340280145406723,0.300000011920929,68.6282196044922,121.213478088379,0.200000002980232,0.200000002980232,0.653999984264374,1.85000002384186,1.85000002384186,0.375999331474304,1,2.47662782669067,0.100000001490116,14544.517578125,-0.300000011920929,0.300000011920929,50,2.52232074737549,2.02028584480286,0,0.5,1,1.5,2,-0.5,-1.5
BEKOK DEEP-1RDR1 ST1,PEP_VAR_PAR,1274.064,0,0.340280145406723,0.300000011920929,68.6309432983398,121.216934204102,0.200000002980232,0.200000002980232,0.653999984264374,1.85000002384186,1.85000002384186,0.375992178916931,1,2.47663354873657,0.100000001490116,14544.517578125,-0.300000011920929,0.300000011920929,50,2.52233409881592,2.02026796340942,0,0.5,1,1.5,2,-0.5,-1.5
BEKOK DEEP-1RDR1 ST1,PEP_VAR_PAR,1274.2164,0,0.340280145406723,0.300000011920929,68.6336669921875,121.220390319824,0.200000002980232,0.200000002980232,0.653999984264374,1.85000002384186,1.85000002384186,0.375985026359558,1,2.47663927078247,0.100000001490116,14544.517578125,-0.300000011920929,0.300000011920929,50,2.52234745025635,2.02025008201599,0,0.5,1,1.5,2,-0.5,-1.5
BEKOK DEEP-1RDR1 ST1,PEP_VAR_PAR,1274.3688,0,0.340280145406723,0.300000011920929,68.6363906860352,121.223846435547,0.200000002980232,0.200000002980232,0.653999984264374,1.85000002384186,1.85000002384186,0.375977873802185,1,2.47664499282837,0.100000001490116,14544.517578125,-0.300000011920929,0.300000011920929,50,2.52236080169678,2.02023220062256,0,0.5,1,1.5,2,-0.5,-1.5
BEKOK DEEP-1RDR1 ST1,PEP_VAR_PAR,1274.5212,0,0.340280145406723,0.300000011920929,68.6391143798828,121.22730255127,0.200000002980232,0.200000002980232,0.653999984264374,1.85000002384186,1.85000002384186,0.375970721244812,1,2.47665071487427,0.100000001490116,14544.517578125,-0.300000011920929,0.300000011920929,50,2.52237415313721,2.02021431922913,0,0.5,1,1.5,2,-0.5,-1.5
